device_id,model_id,model_sha256,architecture,quantization,runtime,requested_delegate,effective_delegate,threads,trial_id,observation_count,latency_min_ms,latency_max_ms,latency_mean_ms,latency_median_ms,latency_p90_ms,latency_p95_ms,latency_p99_ms,latency_sd_ms,latency_cv,throughput_images_per_s,process_pss_median_mb,process_rss_median_mb,battery_temperature_start_c,battery_temperature_end_c,battery_temperature_max_c
realme_RMX3760_api35,efficientnet_b0_float16,8b487a2559093bb4a7f986aa93665bf5c61d27c44c836376ec46bebc84d1bc8c,efficientnet_b0,float16,builtin_cpu,none,none_builtin,1,1,100,470.605,574.905,500.49893,500.3455,515.5073,525.6528500000001,538.7551500000002,15.984840371493275,0.031937811278624065,1.9980062694639529,304.55224609375,414.1328125,44.9,45.2,45.2
realme_RMX3760_api35,efficientnet_b0_float16,8b487a2559093bb4a7f986aa93665bf5c61d27c44c836376ec46bebc84d1bc8c,efficientnet_b0,float16,builtin_cpu,none,none_builtin,1,2,100,469.289,531.404,496.00683000000004,495.4615,515.5394,522.2072000000001,525.61349,14.97325406091903,0.030187596531521612,2.016101270218396,849.1142578125,584.935546875,43.9,44.1,44.1
realme_RMX3760_api35,efficientnet_b0_float16,8b487a2559093bb4a7f986aa93665bf5c61d27c44c836376ec46bebc84d1bc8c,efficientnet_b0,float16,builtin_cpu,none,none_builtin,2,1,100,484.244,869.175,543.54264,515.027,670.6652,794.37975,864.0408600000001,84.98271405273003,0.15634967304999298,1.8397820638321953,563.375,614.470703125,41.5,41.7,41.7
realme_RMX3760_api35,efficientnet_b0_float16,8b487a2559093bb4a7f986aa93665bf5c61d27c44c836376ec46bebc84d1bc8c,efficientnet_b0,float16,builtin_cpu,none,none_builtin,2,2,100,478.627,567.491,504.63111999999995,504.2785,524.6961,529.1865,566.26637,16.936882029893972,0.033562896457701566,1.981645523565808,754.7509765625,643.279296875,43.8,43.9,43.9
realme_RMX3760_api35,efficientnet_b0_float16,8b487a2559093bb4a7f986aa93665bf5c61d27c44c836376ec46bebc84d1bc8c,efficientnet_b0,float16,builtin_cpu,none,none_builtin,4,1,100,439.442,535.268,482.30522,484.198,497.598,500.1103,517.84103,14.783030100118518,0.030650777738044217,2.0733758593780096,304.876953125,414.478515625,44.9,44.9,44.9
realme_RMX3760_api35,efficientnet_b0_float16,8b487a2559093bb4a7f986aa93665bf5c61d27c44c836376ec46bebc84d1bc8c,efficientnet_b0,float16,builtin_cpu,none,none_builtin,4,2,100,449.706,630.581,489.07977999999997,487.8245,502.445,515.5585,625.87454,24.00084545168265,0.04907347723858601,2.044656190857042,640.3349609375,584.05078125,43.4,43.5,43.5
realme_RMX3760_api35,efficientnet_b0_float16,8b487a2559093bb4a7f986aa93665bf5c61d27c44c836376ec46bebc84d1bc8c,efficientnet_b0,float16,xnnpack_cpu,xnnpack,xnnpack_initialized_partition_unverified,1,1,100,421.357,634.478,454.12388000000004,453.952,467.1578,471.32535,477.8807900000008,22.02999925458854,0.048510990557441146,2.2020423149736144,360.302734375,466.365234375,45.7,45.7,45.7
realme_RMX3760_api35,efficientnet_b0_float16,8b487a2559093bb4a7f986aa93665bf5c61d27c44c836376ec46bebc84d1bc8c,efficientnet_b0,float16,xnnpack_cpu,xnnpack,xnnpack_initialized_partition_unverified,1,2,100,417.945,627.425,462.33725,458.8325,479.4069,492.57155,617.6972600000001,27.3376433691215,0.059129225190316166,2.1629232773262377,700.3095703125,612.79296875,43.8,43.9,43.9
realme_RMX3760_api35,efficientnet_b0_float16,8b487a2559093bb4a7f986aa93665bf5c61d27c44c836376ec46bebc84d1bc8c,efficientnet_b0,float16,xnnpack_cpu,xnnpack,xnnpack_initialized_partition_unverified,2,1,100,430.296,504.1,456.72851,457.76,468.3701,472.0405,487.4016700000001,11.807490529145415,0.02585231766929858,2.1894845145532953,566.45263671875,618.107421875,42.0,42.1,42.2
realme_RMX3760_api35,efficientnet_b0_float16,8b487a2559093bb4a7f986aa93665bf5c61d27c44c836376ec46bebc84d1bc8c,efficientnet_b0,float16,xnnpack_cpu,xnnpack,xnnpack_initialized_partition_unverified,2,2,100,423.194,513.998,451.2369200000001,450.745,462.4073,464.7332,470.59244000000024,11.549721242584786,0.02559569204262981,2.2161307190909816,675.3017578125,616.513671875,43.8,43.8,43.8
realme_RMX3760_api35,efficientnet_b0_float16,8b487a2559093bb4a7f986aa93665bf5c61d27c44c836376ec46bebc84d1bc8c,efficientnet_b0,float16,xnnpack_cpu,xnnpack,xnnpack_initialized_partition_unverified,4,1,100,422.061,670.213,455.09875000000005,453.4605,469.6481,482.6483,496.7323300000009,26.260914497595085,0.057703771978268634,2.197325305771549,301.337890625,411.396484375,44.6,44.9,44.9
realme_RMX3760_api35,efficientnet_b0_float16,8b487a2559093bb4a7f986aa93665bf5c61d27c44c836376ec46bebc84d1bc8c,efficientnet_b0,float16,xnnpack_cpu,xnnpack,xnnpack_initialized_partition_unverified,4,2,100,418.999,545.008,457.93629999999996,457.7135,473.4728,479.10075,522.9884200000001,17.50491561582551,0.03822565631033292,2.1837098303847067,650.486328125,591.9921875,43.6,43.9,43.9
realme_RMX3760_api35,efficientnet_b0_float32,4e7bf575be33b6f10e45f58a6f5b2aa4ac03b48b6e5b563369fa98b03d95d03a,efficientnet_b0,float32,builtin_cpu,none,none_builtin,1,1,100,470.749,623.484,499.76502999999997,498.9365,510.4047,517.19155,617.56677,21.451216788004345,0.04292260462482608,2.0009403218948716,392.048828125,487.71484375,46.1,45.9,46.1
realme_RMX3760_api35,efficientnet_b0_float32,4e7bf575be33b6f10e45f58a6f5b2aa4ac03b48b6e5b563369fa98b03d95d03a,efficientnet_b0,float32,builtin_cpu,none,none_builtin,1,2,100,471.71,544.191,497.27245000000005,496.949,511.4799,514.74405,524.6167200000001,11.863823266233544,0.02385779318004354,2.0109700426798227,765.73828125,613.755859375,44.2,44.2,44.2
realme_RMX3760_api35,efficientnet_b0_float32,4e7bf575be33b6f10e45f58a6f5b2aa4ac03b48b6e5b563369fa98b03d95d03a,efficientnet_b0,float32,builtin_cpu,none,none_builtin,2,1,100,475.327,572.312,510.59961,509.7595,523.9214000000001,529.56105,552.1169900000001,13.663936662953027,0.026760570112760226,1.9584817152523875,456.49609375,548.296875,45.6,45.4,45.6
realme_RMX3760_api35,efficientnet_b0_float32,4e7bf575be33b6f10e45f58a6f5b2aa4ac03b48b6e5b563369fa98b03d95d03a,efficientnet_b0,float32,builtin_cpu,none,none_builtin,2,2,100,466.916,675.935,519.5326,518.79,539.2278,550.67825,567.1260800000006,23.242499609138605,0.04473732660691284,1.9248070284713605,605.103515625,597.56640625,43.1,43.1,43.1
realme_RMX3760_api35,efficientnet_b0_float32,4e7bf575be33b6f10e45f58a6f5b2aa4ac03b48b6e5b563369fa98b03d95d03a,efficientnet_b0,float32,builtin_cpu,none,none_builtin,4,1,100,462.073,680.286,496.06067999999993,491.202,510.72620000000006,537.35995,663.2936400000001,33.590407320200356,0.06771431132215591,2.015882411804943,440.31298828125,532.025390625,45.7,45.7,45.8
realme_RMX3760_api35,efficientnet_b0_float32,4e7bf575be33b6f10e45f58a6f5b2aa4ac03b48b6e5b563369fa98b03d95d03a,efficientnet_b0,float32,builtin_cpu,none,none_builtin,4,2,100,447.651,543.168,488.1046400000001,487.0735,507.814,515.95925,519.3852300000001,15.312986356090644,0.03137234334853002,2.048741024055825,703.837890625,592.611328125,43.8,43.8,43.8
realme_RMX3760_api35,efficientnet_b0_float32,4e7bf575be33b6f10e45f58a6f5b2aa4ac03b48b6e5b563369fa98b03d95d03a,efficientnet_b0,float32,xnnpack_cpu,xnnpack,xnnpack_initialized_partition_unverified,1,1,100,416.754,533.758,447.13914,446.1665,460.132,464.4524,529.49704,16.43337811292688,0.03675226935608205,2.2364403169894724,462.6904296875,545.87890625,44.9,44.6,44.9
realme_RMX3760_api35,efficientnet_b0_float32,4e7bf575be33b6f10e45f58a6f5b2aa4ac03b48b6e5b563369fa98b03d95d03a,efficientnet_b0,float32,xnnpack_cpu,xnnpack,xnnpack_initialized_partition_unverified,1,2,100,421.817,475.21,455.85265999999996,457.8815,466.1846,469.75395,474.21109,10.036101872356777,0.022016109047947156,2.193691268577878,651.6142578125,593.005859375,43.7,43.7,43.7
realme_RMX3760_api35,efficientnet_b0_float32,4e7bf575be33b6f10e45f58a6f5b2aa4ac03b48b6e5b563369fa98b03d95d03a,efficientnet_b0,float32,xnnpack_cpu,xnnpack,xnnpack_initialized_partition_unverified,2,1,100,425.261,528.963,453.4167,452.0985,464.3901,467.95575,477.1592700000003,12.83462748413703,0.028306472796738695,2.2054767722494564,490.4775390625,576.0390625,43.8,43.8,43.8
realme_RMX3760_api35,efficientnet_b0_float32,4e7bf575be33b6f10e45f58a6f5b2aa4ac03b48b6e5b563369fa98b03d95d03a,efficientnet_b0,float32,xnnpack_cpu,xnnpack,xnnpack_initialized_partition_unverified,2,2,100,422.57,506.078,451.34441000000004,453.69050000000004,466.8394,469.86344999999994,478.82924000000014,13.605059196464119,0.030143409101852214,2.2156029361258733,806.7744140625,654.5625,44.1,44.2,44.2
realme_RMX3760_api35,efficientnet_b0_float32,4e7bf575be33b6f10e45f58a6f5b2aa4ac03b48b6e5b563369fa98b03d95d03a,efficientnet_b0,float32,xnnpack_cpu,xnnpack,xnnpack_initialized_partition_unverified,4,1,100,419.058,592.437,455.93785,454.326,473.56190000000004,491.50345000000004,530.2937100000004,22.20004226603266,0.04869093949105708,2.1932813869258716,368.607421875,466.98046875,45.6,45.7,45.7
realme_RMX3760_api35,efficientnet_b0_float32,4e7bf575be33b6f10e45f58a6f5b2aa4ac03b48b6e5b563369fa98b03d95d03a,efficientnet_b0,float32,xnnpack_cpu,xnnpack,xnnpack_initialized_partition_unverified,4,2,100,424.733,485.458,453.4794,453.653,467.591,473.1714,483.16912,12.060384888409061,0.02659522105835251,2.20517183360479,884.2890625,529.857421875,43.9,43.9,44.0
realme_RMX3760_api35,efficientnet_b0_full_int8,bf768dda79fe589885aa9c79820a478236c331901a921dec3f8de87c8219a214,efficientnet_b0,full_int8,builtin_cpu,none,none_builtin,1,1,100,285.0,330.319,310.30111,314.048,320.7217,322.47979999999995,324.20872,9.95202949800652,0.03207216853979839,3.222676193456092,220.2119140625,330.28515625,43.8,43.8,43.9
realme_RMX3760_api35,efficientnet_b0_full_int8,bf768dda79fe589885aa9c79820a478236c331901a921dec3f8de87c8219a214,efficientnet_b0,full_int8,builtin_cpu,none,none_builtin,1,2,100,284.069,356.03,310.70273000000003,312.973,322.43710000000004,331.83675,345.81914000000006,12.568450981639653,0.04045169149830017,3.2185105035929356,729.2041015625,601.263671875,44.1,44.1,44.2
realme_RMX3760_api35,efficientnet_b0_full_int8,bf768dda79fe589885aa9c79820a478236c331901a921dec3f8de87c8219a214,efficientnet_b0,full_int8,builtin_cpu,none,none_builtin,2,1,100,297.628,384.787,329.16,328.512,347.53810000000004,359.51619999999997,382.62286,17.195591942780748,0.05224083103287382,3.0380362133916634,280.337890625,389.70703125,45.2,45.4,45.4
realme_RMX3760_api35,efficientnet_b0_full_int8,bf768dda79fe589885aa9c79820a478236c331901a921dec3f8de87c8219a214,efficientnet_b0,full_int8,builtin_cpu,none,none_builtin,2,2,100,293.533,477.026,331.91040999999996,330.2745,347.67530000000005,365.8851,412.1057600000003,22.426648297967024,0.06756837876210942,3.012861211554046,533.95068359375,526.232421875,42.5,42.6,42.7
realme_RMX3760_api35,efficientnet_b0_full_int8,bf768dda79fe589885aa9c79820a478236c331901a921dec3f8de87c8219a214,efficientnet_b0,full_int8,builtin_cpu,none,none_builtin,4,1,100,269.583,376.31,303.02896000000004,302.40099999999995,319.1527,323.58265,332.34707000000026,14.18103717048605,0.046797630069700426,3.3000146256648204,276.337890625,381.576171875,45.5,45.5,45.5
realme_RMX3760_api35,efficientnet_b0_full_int8,bf768dda79fe589885aa9c79820a478236c331901a921dec3f8de87c8219a214,efficientnet_b0,full_int8,builtin_cpu,none,none_builtin,4,2,100,269.685,332.398,301.89952000000005,301.3365,318.5042,324.19665000000003,332.08021,13.5226070064955,0.044791747288950634,3.312360350887606,636.9619140625,567.798828125,43.9,43.8,43.9
realme_RMX3760_api35,efficientnet_b0_full_int8,bf768dda79fe589885aa9c79820a478236c331901a921dec3f8de87c8219a214,efficientnet_b0,full_int8,xnnpack_cpu,xnnpack,xnnpack_initialized_partition_unverified,1,1,100,158.906,209.657,184.13738999999998,184.208,196.2744,200.98205,209.11646,11.148410504899681,0.06054398025789158,5.430727567062833,487.2060546875,570.728515625,41.4,41.2,41.4
