configuration_id,architecture,quantization,runtime,threads,process_pss_median_mb,process_rss_median_mb,battery_temperature_min_c,battery_temperature_max_c
mobilenet_v2_full_int8__builtin_cpu__2t,mobilenet_v2,full_int8,builtin_cpu,2,615.61083984375,582.7099609375,42.3,44.0
mobilenet_v2_full_int8__builtin_cpu__4t,mobilenet_v2,full_int8,builtin_cpu,4,468.34716796875,467.3818359375,43.8,44.9
mobilenet_v2_full_int8__xnnpack_cpu__1t,mobilenet_v2,full_int8,xnnpack_cpu,1,544.154296875,473.158203125,43.9,45.8
mobilenet_v2_full_int8__xnnpack_cpu__2t,mobilenet_v2,full_int8,xnnpack_cpu,2,468.42431640625,488.419921875,43.5,46.1
mobilenet_v2_full_int8__xnnpack_cpu__4t,mobilenet_v2,full_int8,xnnpack_cpu,4,664.4443359375,529.7470703125,43.7,43.9
mobilenet_v3_small_dynamic_int8__builtin_cpu__1t,mobilenet_v3_small,dynamic_int8,builtin_cpu,1,554.4140625,484.8408203125,43.9,45.6
mobilenet_v3_small_dynamic_int8__builtin_cpu__2t,mobilenet_v3_small,dynamic_int8,builtin_cpu,2,397.88623046875,424.775390625,43.4,43.9
mobilenet_v3_small_dynamic_int8__builtin_cpu__4t,mobilenet_v3_small,dynamic_int8,builtin_cpu,4,434.0361328125,510.96484375,42.4,45.8
mobilenet_v3_small_dynamic_int8__xnnpack_cpu__1t,mobilenet_v3_small,dynamic_int8,xnnpack_cpu,1,535.4033203125,465.8017578125,44.1,45.5
mobilenet_v3_small_dynamic_int8__xnnpack_cpu__2t,mobilenet_v3_small,dynamic_int8,xnnpack_cpu,2,532.27490234375,500.07421875,44.0,45.5
mobilenet_v3_small_dynamic_int8__xnnpack_cpu__4t,mobilenet_v3_small,dynamic_int8,xnnpack_cpu,4,502.58740234375,492.06640625,43.9,45.5
mobilenet_v3_small_float16__builtin_cpu__1t,mobilenet_v3_small,float16,builtin_cpu,1,542.25146484375,592.69921875,42.1,42.6
mobilenet_v3_small_float16__builtin_cpu__2t,mobilenet_v3_small,float16,builtin_cpu,2,573.111328125,558.53125,43.9,44.4
mobilenet_v3_small_float16__builtin_cpu__4t,mobilenet_v3_small,float16,builtin_cpu,4,591.839599609375,465.548828125,44.6,45.8
mobilenet_v3_small_float16__xnnpack_cpu__1t,mobilenet_v3_small,float16,xnnpack_cpu,1,646.24072265625,595.9599609375,41.8,44.2
mobilenet_v3_small_float16__xnnpack_cpu__2t,mobilenet_v3_small,float16,xnnpack_cpu,2,400.4970703125,451.73046875,42.9,44.5
mobilenet_v3_small_float16__xnnpack_cpu__4t,mobilenet_v3_small,float16,xnnpack_cpu,4,553.5986328125,442.873046875,44.1,45.5
mobilenet_v3_small_float32__builtin_cpu__1t,mobilenet_v3_small,float32,builtin_cpu,1,570.298828125,583.03125,41.4,43.9
mobilenet_v3_small_float32__builtin_cpu__2t,mobilenet_v3_small,float32,builtin_cpu,2,551.5380859375,564.50390625,41.3,43.6
mobilenet_v3_small_float32__builtin_cpu__4t,mobilenet_v3_small,float32,builtin_cpu,4,667.5283203125,532.451171875,43.6,44.0
mobilenet_v3_small_float32__xnnpack_cpu__1t,mobilenet_v3_small,float32,xnnpack_cpu,1,565.3037109375,443.4140625,43.9,44.5
mobilenet_v3_small_float32__xnnpack_cpu__2t,mobilenet_v3_small,float32,xnnpack_cpu,2,475.21923828125,519.27734375,43.1,46.1
mobilenet_v3_small_float32__xnnpack_cpu__4t,mobilenet_v3_small,float32,xnnpack_cpu,4,616.9287109375,595.2734375,41.1,44.1
mobilenet_v3_small_full_int8__builtin_cpu__1t,mobilenet_v3_small,full_int8,builtin_cpu,1,573.243408203125,450.216796875,44.5,45.8
mobilenet_v3_small_full_int8__builtin_cpu__2t,mobilenet_v3_small,full_int8,builtin_cpu,2,625.17236328125,496.2314453125,43.9,45.9
mobilenet_v3_small_full_int8__builtin_cpu__4t,mobilenet_v3_small,full_int8,builtin_cpu,4,635.810546875,601.392578125,41.5,44.2
