configuration_id,architecture,quantization,runtime,threads,trial_median_mean_ms,trial_median_sd_ms,trial_median_cv,trial_median_bootstrap95_low_ms,trial_median_bootstrap95_high_ms,trial_p95_mean_ms,trial_p95_sd_ms,trial_p95_bootstrap95_low_ms,trial_p95_bootstrap95_high_ms,trial_throughput_mean_images_per_s,trial_throughput_sd_images_per_s,observation_count
mobilenet_v2_dynamic_int8__builtin_cpu__1t,mobilenet_v2,dynamic_int8,builtin_cpu,1,392.20425,2.662610584557927,0.0067888366445746,390.3215,394.087,412.2762,4.177233309859509,409.32245,415.22995,2.548409855484004,0.0095166397897254,200
mobilenet_v2_dynamic_int8__builtin_cpu__2t,mobilenet_v2,dynamic_int8,builtin_cpu,2,390.6465,0.4744686501761277,0.0012145728943587,390.311,390.982,426.0444,24.945878712123964,408.405,443.6838,2.5549984175293696,0.0139634836340081,200
mobilenet_v2_dynamic_int8__builtin_cpu__4t,mobilenet_v2,dynamic_int8,builtin_cpu,4,392.11,1.4184562030602346,0.0036174956085288,391.107,393.113,421.0176,0.2981869296263579,420.80675,421.22845,2.539668493029299,0.0057443325433139,200
mobilenet_v2_dynamic_int8__xnnpack_cpu__1t,mobilenet_v2,dynamic_int8,xnnpack_cpu,1,390.04175,3.374667113212824,0.0086520663831828,387.6555,392.428,411.95645,10.735224441295994,404.3655,419.5473999999999,2.556006786149238,0.0348778304013044,200
mobilenet_v2_dynamic_int8__xnnpack_cpu__2t,mobilenet_v2,dynamic_int8,xnnpack_cpu,2,395.034,0.2439518395093781,0.0006175464377987,394.8615,395.2065,414.14525,7.842097046071278,408.60005,419.69045,2.54308231750546,0.0104323627792057,200
mobilenet_v2_dynamic_int8__xnnpack_cpu__4t,mobilenet_v2,dynamic_int8,xnnpack_cpu,4,400.65725,6.068743949533531,0.0151469715062775,396.366,404.9485,424.271325,2.796713385609976,422.29375,426.2489,2.486806846737577,0.032840206053914,200
mobilenet_v2_float16__builtin_cpu__1t,mobilenet_v2,float16,builtin_cpu,1,417.87025,2.9539385784068086,0.0070690329795117,415.7815,419.959,439.574675,1.776570432392142,438.31845,440.8309,2.385193178694625,0.0038341179693258,200
mobilenet_v2_float16__builtin_cpu__2t,mobilenet_v2,float16,builtin_cpu,2,426.6415,2.586596605580401,0.0060626933985099,424.8125,428.4705,444.63965,0.6897826650474848,444.1519,445.1274,2.345365755982904,0.0076701939438338,200
mobilenet_v2_float16__builtin_cpu__4t,mobilenet_v2,float16,builtin_cpu,4,410.94675,0.0243951839509619,5.936336995234039e-05,410.9295,410.964,429.498825,1.9570947936290517,428.11495,430.8827,2.43993434389261,0.0010935288192475,200
mobilenet_v2_float16__xnnpack_cpu__1t,mobilenet_v2,float16,xnnpack_cpu,1,393.40625,3.774889551364432,0.0095953980176075,390.737,396.0755,409.203725,3.846837666350069,406.4836,411.92385,2.5504404520190977,0.0226638494861361,200
mobilenet_v2_float16__xnnpack_cpu__2t,mobilenet_v2,float16,xnnpack_cpu,2,396.807,5.568465901844061,0.0140331846510874,392.8695,400.7445,415.335625,9.097883334119544,408.90245,421.7688,2.53030533756298,0.0408537617185813,200
mobilenet_v2_float16__xnnpack_cpu__4t,mobilenet_v2,float16,xnnpack_cpu,4,393.49025,4.116422126677457,0.0104613065423538,390.5795,396.401,411.41802500000006,1.0565943077880144,410.6709,412.16515,2.543993737304745,0.0127493504657948,200
mobilenet_v2_float32__builtin_cpu__1t,mobilenet_v2,float32,builtin_cpu,1,420.2045,1.9480791821689352,0.0046360264637073,418.827,421.582,440.975425,2.5447005287951248,439.17605,442.7748,2.380619606160539,0.0047900611157986,200
mobilenet_v2_float32__builtin_cpu__2t,mobilenet_v2,float32,builtin_cpu,2,435.4085,6.986214998123086,0.0160451966328702,430.4685,440.3485,484.306375,24.89033547446168,466.70625,501.9064999999999,2.2766350539657143,0.0511968545370087,200
mobilenet_v2_float32__builtin_cpu__4t,mobilenet_v2,float32,builtin_cpu,4,412.97375,1.9802525407129663,0.0047951051143395,411.5735,414.374,441.26997499999993,2.662292386506352,439.38745,443.1524999999999,2.4110294356512503,0.0185161138407741,200
mobilenet_v2_float32__xnnpack_cpu__1t,mobilenet_v2,float32,xnnpack_cpu,1,394.74225,4.157434319986312,0.0105320226552549,391.8025,397.682,412.622425,2.6547970546258077,410.7452,414.49965,2.534888386004045,0.0265461398217528,200
mobilenet_v2_float32__xnnpack_cpu__2t,mobilenet_v2,float32,xnnpack_cpu,2,400.50575,1.5588168991257412,0.0038921211471389,399.4035,401.608,442.547325,35.7030588189758,417.3014500000001,467.7932,2.471597636234367,0.0566662017888289,200
